Title,Volume,Issues,Publisher,Author_1,Author_2,Artist_1,Artist_2,Image
Powers: The Sellouts,6,,Icon,,,,,
Powers: Forever,7,,Icon,,,,,
Powers: Legends,8,,Icon,,,,,
Powers: Psychotic,9,,Icon,,,,,
Powers: Cosmic,10,,Icon,,,,,
Predator vs Wolverine,1,,Marvel,,,,,
"Pro, The",,,Image,,,,,
"Punisher, The: In the Beginning",1,,Marvel,,,,,
"Punisher, The: Kitchen Irish",2,,Marvel,,,,,
"Punisher, The: Mother Russia",,,Marvel,,,,,
Pyongyang: A Journey to North Korea,,,D&Q,,,,,
Runaways: Pride & Joy,1,,Marvel,,,,,
Runaways: Teenage Wasteland,2,,Marvel,,,,,
Runaways: The Good Die Young,3,,Marvel,,,,,
Runaways: True Believers,4,,Marvel,,,,,
Runaways: Escape to New York,5,,Marvel,,,,,
Runaways: Parental Guidance,6,,Marvel,,,,,
Runaways: Live Fast,7,,Marvel,,,,,
Runaways: Dead End Kids,8,,Marvel,,,,,
Runaways: Dead Wrong,9,,Marvel,,,,,
Saga,1,,Image,,,,,
Saga,2,,Image,,,,,
Saga,4,,Image,,,,,
Saga,5,,Image,,,,,
Scott Pilgrim's Precious Little Life,1,,Oni Press,,,,,
Scott Pilgrim vs. The World,2,,Oni Press,,,,,
Scott Pilgrim & The Infinite Sadness,3,,Oni Press,,,,,
Scott Pilgrim Get It Together,4,,Oni Press,,,,,
Scott Pilgrim vs. The Universe,5,,Oni Press,,,,,
Scott Pilgrim's Finest Hour,6,,Oni Press,,,,,
"Shanna, The She-Devil",,,Marvel,,,,,
She-Hulk: Single Green Female,1,,Marvel,,,,,
She-Hulk: Superhuman Law,2,,Marvel,,,,,
She-Hulk: Time Trials,3,,Marvel,,,,,
She-Hulk: Laws of Attraction,4,,Marvel,,,,,
She-Hulk: Planet Without a Hulk,5,,Marvel,,,,,
Silent War,,,Marvel,,,,,
Sin City: The Hard Goodbye,1,,Dark Horse,,,,,
Sin City: A Dame to Kill For,2,,Dark Horse,,,,,
Sin City: The Big Fat Kill,3,,Dark Horse,,,,,
Sin City: The Yellow Bastard,4,,Dark Horse,,,,,
Sin City: Family Values,5,,Dark Horse,,,,,
"Sin City: Booze, Broads, and Bullets",6,,Dark Horse,,,,,
Smax,,,America's Best Comics,,,,,
Spawn,1,,Image,,,,,
Spder-Man: Ultimate Collection,,,Marvel,,,,,
Spider-Man: Wild Blue Yonder,4,,Marvel,,,,,
Amazing Spider-Man: Ultimate Collection,1,,Marvel,,,,,
Amazing Spider-Man: Ultimate Collection,2,,Marvel,,,,,
Amazing Spider-Man: Ultimate Collection,3,,Marvel,,,,,
Amazing Spider-Man: Ultimate Collection,4,,Marvel,,,,,
Amazing Spider-Man: Ultimate Collection,5,,Marvel,,,,,
Avenging Spider-Man: The Complete Collection,,,Marvel,,,,,
Spider-Man: Blackcat,,,Marvel,,,,,
Spider-Man and the Blackcat: The Evil That Men Do,,,Marvel,,,,,
Spider-Man: Big Time,,,Marvel,,,,,
Spider-Man: One More Day,,,Marvel,,,,,
Amazing Spider-Man: The Gauntlet,1,,Marvel,,,,,
Amazing Spider-Man: Brand New Day,2,,Marvel,,,,,
Amazing Spider-Man: Brand New Day,3,,Marvel,,,,,
Spider-Woman: Origin,,,Marvel,,,,,
Spider-Woman: Agent of S.W.O.R.D.,,,Marvel,,,,,
Spider-Woman: Spider-Verse,1,,Marvel,,,,,
Star Wars Legacy: Broken,1,,Dark Horse,,,,,
Star Wars Legacy: Shards,2,,Dark Horse,,,,,
Star Wars Legacy: Claws of the Dragon,3,,Dark Horse,,,,,
Star Wars Legacy: Alliance,4,,Dark Horse,,,,,
Star Wars Legacy: Storms,7,,Dark Horse,,,,,
Star Wars: Tales #9,,,Dark Horse,,,,,
SUPERMAN,,,DC,,,,,
Superman/Aliens,,,DC / Dark Horse,,,,,
Superman American Alien,,,DC,,,,,
Superman for All Seasons,,,DC,,,,,
All-Star Superman,1,,DC,,,,,
All-Star Superman,2,,DC,,,,,
Superman Batman: Public Enemies,1,,DC,,,,,
Superman: Red Sun,,,DC,,,,,
Superman: Our Worlds at War,1,,DC,,,,,
Superman: Our Worlds at War,2,,DC,,,,,
Superman: Hell on Earth,,,DC,,,,,
"Death of Superman, The",,,DC,,,,,
Saga of the Swamp Thing,1,,Vertigo / DC,,,,,
Swamp Thing: Love and Death,2,,Vertigo / DC,,,,,
Swamp Thing: The Curse,3,,Vertigo / DC,,,,,
Swap Thing: A Murder of Crows,4,,Veritgo,,,,,
Swap Thing: Earth to Earth,5,,Vertigo,,,,,
Swap Thing: Reunion,6,,Vertigo,,,,,
Thor by Jason Aaron: The Complete Collection,1,,Marvel,,,,,
Thor by Jason Aaron: The Complete Collection,2,,Marvel,,,,,
Thor by Jason Aaron: The Complete Collection,3,,Marvel,,,,,
Thor by Jason Aaron: The Complete Collection,4,,Marvel,,,,,
Thor by Jason Aaron: The Complete Collection,5,,Marvel,,,,,
Thor: The War of the Realms,1,,Marvel,,,,,
Thor,1,,Marvel,,,,,
Thor,2,,Marvel,,,,,
Thor,3,,Marvel,,,,,
Thor: Son of Asgard,,,Marvel,,,,,
The Unworthy Thor,,,Marvel,,,,,
Thunderbolts: Faith in Monsters,1,,Marvel,,,,,
Thunderbolts: Caged Angels,2,,Marvel,,,,,
Thunderbolts: Secret Invasion,,,Marvel,,,,,
Thunderbolts: Burning Down the House,,,Marvel,,,,,
Thunderbolts: Widowmaker,,,Marvel,,,,,
Tommysaurus Rex,,,Image,,,,,
Tom Strong,1,,America's Best Comics,,,,,
"Top 10, Book 1",1,,America's Best Comics,,,,,
"Top 10, Book 2",2,,America's Best Comics,,,,,
"Top 10, Beyond the Farthest Precinct",,,America's Best Comics,,,,,
"Top 10, The Forty-Niners",,,America's Best Comics,,,,,
Transmetropolitan: Back on the Street,1,,Vertigo,,,,,
Transmetropolitan: Lust for Life,2,,Vertigo,,,,,
Transmetropolitan: Year of the Bastard,3,,Vertigo,,,,,
ULTIMATE,,,Marvel,,,,,
"Ultimates, The: Super-Human",1,,Marvel,,,,,
"Ultimates, The: Homeland Security",2,,Marvel,,,,,
"Ultimates 2, The: Gods and Monsters",1,,Marvel,,,,,
"Ultimates 2, The: Grand Theft America",2,,Marvel,,,,,
"Ultimates 3, The: Who killed the Scarlet Witch?",,,Marvel,,,,,
Ultimate Annuals,1,,Marvel,,,,,
Ultimate Annuals,2,,Marvel,,,,,
Ultimate Galactus Book 1: Nightmare,1,,Marvel,,,,,
Ultimate Galactus Book 2: Secret,2,,Marvel,,,,,
Ultimate Fantastic Four: The Fantastic,1,,Marvel,,,,,
Ultimate Fantastic Four: Doom,2,,Marvel,,,,,
Ultimate Fantastic Four: N-Zone,3,,Marvel,,,,,
Ultimate Fantastic Four: Inhuman,4,,Marvel,,,,,
Ultimate Fantastic Four: Crossover,5,,Marvel,,,,,
Ultimate Fantastic Four: Frightful,6,,Marvel,,,,,
Ultimate Fantastic Four: God War,7,,Marvel,,,,,
Ultimate Hulk vs. Iron Man: Ultimate Human,,,Marvel,,,,,
Ultimate Iron Man,1,,Marvel,,,,,
Ultimate Iron Man II,,,Marvel,,,,,
Ultimate Origins,1,,Marvel,,,,,
Ultimate Spider-Man: Power and Responsibility,1,,Marvel,,,,,
Ultimate Spider-Man: Learning Curve,2,,Marvel,,,,,
Ultimate Spider-Man: Double Trouble,3,,Marvel,,,,,
Ultimate Spider-Man: Legacy,4,,Marvel,,,,,
Ultimate Spider-Man: Public Scrutiny,5,,Marvel,,,,,
Ultimate Spider-Man: Venom,6,,Marvel,,,,,
Ultimate Comics: Wolverine vs. Hulk,,,Marvel,,,,,
Ultimate X-Men: The Tomorrow People,1,,Marvel,,,,,
Ultimate X-Men: Return to Weapon X,2,,Marvel,,,,,
Ultimate X-Men: World Tour,3,,Marvel,,,,,
Ultimate X-Men: Hellfire & Brimstone,4,,Marvel,,,,,
Ultimate X-Men: Ultimate War,5,,Marvel,,,,,
Ultimate X-Men: Return of the King,6,,Marvel,,,,,
Ultimate X-Men: Blockbuster,7,,Marvel,,,,,
Ultimatum,,,Marvel,,,,,
"Umbrella Academy, The: Apocalypse Suite",1,,Dark Horse,,,,,
"Umbrella Academy, The: Dallas",2,,Dark Horse,,,,,
Wanted,,,Top Cow,,,,,
Watchmen,,,DC,,,,,
Wildcats: World's End,1,,Wildstorm,,,,,
Wildcats: Compendium,,,Image,,,,,
Wildstorm Armageddon,,,Wildstorm,,,,,
WOLVERINE,,,,,,,,
Wolverine: Blood & Sorrow,1,,Marvel,,,,,
Wolverine: Enemy of the State 1,2,,Marvel,,,,,
Wolverine: Enemy of the State 2,,,Marvel,,,,,
Old Man Hawkeye: The Complete Collection,,,Marvel,,,,,
Wolverine: Old Man Logan,,,Marvel,,,,,
Wonder Woman Blood,1,,DC,,,,,
Wonder Woman Guts,2,,DC,,,,,
Wonder Woman Iron,3,,DC,,,,,
Wonder Woman War,4,,DC,,,,,
Wonder Woman Flesh,5,,DC,,,,,
Wonder Woman Bones,6,,DC,,,,,
World War III,2,,DC,,,,,
X-Factor: The Longest Night,1,,Marvel,,,,,
X-Factor: Life & Death Matters,2,,Marvel,,,,,
X-Factor: Many Lives of Madrox,3,,Marvel,,,,,
X-Factor: Heart of Ice,4,,Marvel,,,,,
X-Factor: The Only Game in Town,5,,Marvel,,,,,
X-Factor: Secret Invasion,6,,Marvel,,,,,
X-Factor: Time and a Half,7,,Marvel,,,,,
X-Factor: Overtime,8,,Marvel,,,,,
X-Factor: Invisible Woman has Vanished,9,,Marvel,,,,,
X-Factor: Second Coming,10,,Marvel,,,,,
X-Factor: Happenings In Vegas,11,,Marvel,,,,,
X-Factor: Scar Tissue,12,,Marvel,,,,,
X-Factor: Hard Labor,13,,Marvel,,,,,
X-Factor: Super Unnatural,14,,Marvel,,,,,
X-Force: New Beginnings,,,Marvel,,,,,
X-Force: The Final Chapter,2,,Marvel,,,,,
X-Statix: Good Omens,1,,Marvel,,,,,
X-Statix: Good Guys & Bad Guys,2,,Marvel,,,,,
X-MEN,,,,,,,,
X-Men: Dark Phoenix Saga,,,Marvel,,,,,
X-Men: Days of Future Past,,,Marvel,,,,,
X-tinction Agenda,1,,Marvel,,,,,
X-Men: X-Cutioner's Song,,,Marvel,,,,,
X-Men: Fatal Attractions,,,Marvel,,,,,
X-Men: The Wedding of Cyclops and Phoenix,,,Marvel,,,,,
X-Men: The Adventures of Cyclops and Phoenix,,,Marvel,,,,,
X-Men: The Complete Age of Apocalypse,1,,Marvel,,,,,
X-Men: The Complete Age of Apocalypse,2,,Marvel,,,,,
X-Men: The Complete Age of Apocalypse,3,,Marvel,,,,,
X-Men: The Complete Age of Apocalypse,4,,Marvel,,,,,
X-Men: Prelude to Onslaught,0,,Marvel,,,,,
X-Men: The Complete Onslaught Epic,1,,Marvel,,,,,
X-Men: The Complete Onslaught Epic,2,,Marvel,,,,,
X-Men: The Complete Onslaught Epic,3,,Marvel,,,,,
X-Men: The Complete Onslaught Epic,4,,Marvel,,,,,
X-Men vs. Apocalypse: The Twelve,1,,Marvel,,,,,
X-Men vs. Apocalypse: Ages of Apocalypse,2,,Marvel,,,,,
New X-Men: Ultimate Collection,1,,Marvel,,,,,
New X-Men: Ultimate Collection,2,,Marvel,,,,,
New X-Men: Ultimate Collection,3,,Marvel,,,,,
Astonishing X-Men: Gifted,1,,Marvel,,,,,
Astonishing X-Men: Dangerous,2,,Marvel,,,,,
Astonishing X-Men: torn,3,,Marvel,,,,,
Astonishing X-Men: Unstoppable,4,,Marvel,,,,,
Astonishing X-Men: Ghost Box,5,,Marvel,,,,,
Astonishing X-Men: Exogenetic,6,,Marvel,,,,,
X-Men: Phoenix – Endsong,,,Marvel,,,,,
X-Men: Psylocke,,,Marvel,,,,,
X-Men: Messiah Complex,,,Marvel,,,,,
X-Men: Divided We Stand,,,Marvel,,,,,
Young X-Men: Final Genesis,1,,Marvel,,,,,
Young X-Men: Book of Revelations,2,,Marvel,,,,,
Cable: Messiah War,1,,Marvel,,,,,
X-Force: Angels & Demons,1,,Marvel,,,,,
Cable: Waiting for the End of the World,2,,Marvel,,,,,
X-Force: Old Ghosts,2,,Marvel,,,,,
X-Force/Cable: Messiah War,,,Marvel,,,,,
X-Force: Not Forgotten,3,,Marvel,,,,,
Uncanny X-Men: The Extremist,,,Marvel,,,,,
X-Men: Supernovas,,,Marvel,,,,,
X-Men: Emperor Vulcan,,,Marvel,,,,,
X-Men: Blinded by the Light,,,Marvel,,,,,
Necrosha X,,,Marvel,,,,,
Uncanny X-Men: The Complete Collection,1,,Marvel,,,,,
Uncanny X-Men: The Complete Collection,2,,Marvel,,,,,
Uncanny X-Men: The Complete Collection,3,,Marvel,,,,,
X-Men: Second Coming,,,Marvel,,,,,
X-Men: Curse of the Mutants,,,Marvel,,,,,
Uncanny X-Men: The Complete Collection,1,,,,,,,
Uncanny X-Men: The Complete Collection,2,,,,,,,
X-Men: Prelude to Schism,,,Marvel,,,,,
X-Men: Schism,,,Marvel,,,,,
Uncanny X-Force: The Apocalypse Solution,1,,Marvel,,,,,
Uncanny X-Force: Deathlok Nation,2,,Marvel,,,,,
"Uncanny X-Force: The Dark Angel Saga, Book 1",3,,Marvel,,,,,
Uncanny X-Force: Otherworld,5,,Marvel,,,,,
Uncanny X-Force: Final Execution Book 1,6,,Marvel,,,,,
Uncanny X-Force: Final Execution Book 2,7,,Marvel,,,,,
Avengers X Sanction,,,Marvel,,,,,
Avengers vs. X-Men: It's Coming,,,Marvel,,,,,
Avengers vs. X-Men,,,Marvel,,,,,
Avengers vs. X-Men: Consequences,,,Marvel,,,,,
X-Men: Battle of the Atom,,,Marvel,,,,,
Uncanny X-Men: Revolution,1,,Marvel,,,,,
Uncanny X-Men: Boken,2,,Marvel,,,,,
"Uncanny X-Men: The Good, The Bad, The Inhuman",3,,Marvel,,,,,
Uncanny X-Men: vs. S.H.I.E.L.D.,4,,Marvel,,,,,
Uncanny X-Men: The Omega Mutant,5,,Marvel,,,,,
Uncanny X-Men: Storyville,6,,Marvel,,,,,
Death of X,,,Marvel,,,,,
X-Men Summers and Winter,,,Marvel,,,,,
Uncanny X-Men: Wolverine and Cyclops,1,,Marvel,,,,,
Uncanny X-Men: Wolverine and Cyclops,2,,Marvel,,,,,
House of X Powers of X,,,Marvel,,,,,
X-Men,1,,Marvel,,,,,
X-Men,2,,Marvel,,,,,
Giant-Size X-Men,,,Marvel,,,,,
X of Swords,1,,Marvel,,,,,
X-Men,3,,Marvel,,,,,
X-Men: Hellfire Gala,,,Marvel,,,,,
Inferno,,,Marvel,,,,,
X-Men,1,,Marvel,,,,,
X-Men,2,,Marvel,,,,,
X-Men,3,,Marvel,,,,,
X-Men,4,,Marvel,,,,,
X-Men,5,,Marvel,,,,,
X-Men,6,,Marvel,,,,,
Fall of the House of X  Rise of the Powers of X,,,Marvle,,,,,
X-Men: The Trial of Magneto,,,Marvel,,,,,
X-Men '97: Great X-Pectations,,,Marvel,,,,,
Y: The Last Man – Unmanned,1,,Vertigo,,,,,
Y: The Last Man – Cycles,2,,Vertigo,,,,,
Y: The Last Man – One Small Step,3,,Vertigo,,,,,
Y: The Last Man – Safeword,4,,Vertigo,,,,,
Y: The Last Man – Ring of Truth,5,,Vertigo,,,,,
Y: The Last Man – Girl on Girl,6,,Vertigo,,,,,
Y: The Last Man - Paper Dolls,7,,Vertigo,,,,,
Y: The Last Man – Kimono Dragons,8,,Vertigo,,,,,
Y: The Last Man – Motherland,9,,Vertigo,,,,,
Y: The Last Man – Whys and Wherefores,10,,Vertigo,,,,,
Young Avengers: The Children’s Crusade,,"Avengers: The Children's Crusade #1-9, Avengers: The Children's Crusade - Young Avengers #1, some Uncanny X-Men #526",Marvel,Allan Heinberg,,Jim Cheung,Mark Morales,https://s3.amazonaws.com/comicgeeks/comics/covers/large-9697818.jpg?1714971226
