"Title","Volume","Issues","Publisher","Image"
"FF","4","","Marvel",""
"Final Crisis","","","DC",""
"G.O.D.S.","","","Marvel",""
"Guardians of the Galaxy: Cosmic Avengers","1","","Marvel",""
"Guardians of the Galaxy: Angela","2","","Marvel",""
"Guardians of the Galaxy: Guardians Disassmbled","3","","Marvel",""
"Guardians of the Galaxy: Original Sin","4","","Marvel",""
"Guardians of the Galaxy: Through the Looking Glass","5","","Marvel",""
"Green Lantern: No Fear","","","DC",""
"Green Lantern: The Sinestro Corps War","1","","DC",""
"Green Lantern: The Sinestro Corps War","2","","DC",""
"Green Lantern: Rage of the Red Lanterns","","","DC",""
"Green Lantern: Agent Orange","","","DC",""
"Blackest Night: Green Lantern","","","DC",""
"Blackest Night","","","DC",""
"Grifter & Midnighter","","","Wildstorm",""
"Hawkeye: My Life as a Weapon","1","","Marvel",""
"Hawkeye: Little Hits","2","","Marvel",""
"Hawkeye: L.A. Woman","3","","Marvel",""
"Hawkeye: Rio Bravo","4","","Marvel",""
"Head Lopper & The Island of a Plague of Beasts","1","","Image",""
"Head Lopper & the Crimson Tower","2","","Image",""
"John Constantine","Hellblazer: Dangerous Habits","","","Vertigo"
"John Constantine","Hellblazer: Good Intentions","","","Vertigo"
"John Constantine","Hellblazer: Tainted Love","","","Vertigo"
"John Constantine","Hellblazer: Son of Man","","","Vertigo"
"John Constantine","Hellblazer: Fear and Loathing","","","Vertigo"
"John Constantine","Hellblazer: Damnation's Flame","","","Vertigo"
"John Constantine","Hellblazer: Bloodlines","","","Vertigo"
"Hellboy: Seed of Destruction","1","","Dark Horse",""
"Hellboy: Wake the Devil","2","","Dark Horse",""
"Herobear and the Kid: The Inheritance","1","","Kaboom!",""
"Hobbit, The","","","Del Ray",""
"Head Lopper","1","","",""
"Hulk: Planet Hulk Prelude","1","","Marvel",""
"Hulk: Planet Hulk","","","Marvel",""
"Hulk: World War Hulk","","","Marvel",""
"Hulk: The Complete Collection","1","","Marvel",""
"Hulk: The Complete Collection","2","","Marvel",""
"I Kill Giants","","","Image",""
"Infinite Crisis","","","DC",""
"Infinity Gauntlet, The","","","Marvel",""
"Invincible: Family Matters","1","","Image",""
"Invincible: Eight is Enough","2","","Image",""
"Invincible: Perfect Strangers","3","","Image",""
"Invincible: Head of the Class","4","","Image",""
"Invincible: The Facts of Life","5","","Image",""
"Invincible: A Different World","6","","Image",""
"Invincible: Three's Company","7","","Image",""
"Invincible: My Favorite Martian","8","","Image",""
"Invincible: Out of This World","9","","Image",""
"Invincible: Who's The Boss?","10","","Image",""
"Invincible: Happy Days","11","","Image",""
"Invincible: Still Standing","12","","Image",""
"Invincible: Growing Pains","13","","Image",""
"Invincible: The Viltrumite War","14","","Image",""
"Invincible: Get Smart","15","","Image",""
"Invincible: Family Ties","16","","Image",""
"Invincible: What's Happening","17","","Image",""
"Invincible: The Death of Everyone","18","","Image",""
"Invincible: The War at Home","19","","Image",""
"Invincible: Friends","20","","Image",""
"Invincible: Modern Family","21","","Image",""
"Invincible: Reboot?","22","","Image",""
"Invincible: Full House","23","","Image",""
"Invincible: The End of All Things Part 1","24","","Image",""
"Invincible: The End of All Things Part 2","25","","Image",""
"Iron Man: Extremis","","","Marvel",""
"Invincible Iron Man, The: The Five Nightmares","","","Marvel",""
"Iron West","","","Image",""
"JLA: Tower of Babel","7","","DC",""
"King in Black","","","Marvel",""
"Kingdom Come","","","DC",
